№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
241,Мама Насти,Nastya's mother,"Маме пять лет, семья переезжает в новую квартиру. Мама едет в ""Пазике""  и ей жутко дискомфортно оттого, что её посадили на радиатор. Видимо, руководствовались тем, что зимой холодно. За рулём сидит ""незнакомый дяденька"", она не может ему пожаловаться, потому что стеснительная до смерти. А вся семья едет в багажнике. Вот так мама и ёрзала на этом радиаторе. ""Чуть попу себе не сожгла"".","My mom was five years old, the family moved to a new apartment. Mom rides in a ""PAZ"" bus* and it was terribly uncomfortable because she was put on the radiator.  Apparently guided by the fact that it was cold in winter. At the wheel there was a strange mister, she couldn't complain because she was shy to death. And the whole family was in the trunk. So mom had to suffer and writhe on the radiator. ""Almost burned the bottom.""","*PAZ bus - It means here a general-purpose lorry, a model of a Pavlovsky Avtobusny Zavod lorry",ж,1,5,место проживания,неудобство,"шофер, семья",радиатор,-,-,-,горячо от радиатора,-,автомобиль,-,зима,пассивное,
242,Катя,Katya,"Два-три года. Сижу у дедушки на коленях, он пригнулся ко мне близко-близко, и я вижу его красивые белые волосы, которые немного вьются, как волны, его большущие очки и большой нос, а сама я как будто очень-очень маленькая. Дедушка очень хорошо улыбается. И я как будто в маленьком мирке, закрыта со всех сторон дедушкой, как в шалаше.

А может быть, это было второе воспоминание, а первое тоже из квартиры бабушки и дедушки. Я купаюсь в ванночке, и на ванну положена деревянная доска, а на ней много игрушек, и я плещусь и смеюсь, мне очень весело и хорошо. Из того, что лежало на доске, мне больше всего запомнилась желтая уточка.","I am two or three years old. Sitting on my grandfather's knees, he bent over me very close, and I see his beautiful white hair that is slightly curly, like waves, his great big glasses and big nose, and I like very-very small. Grandpa had a very good smile. I felt like I was in own little world, closed from all sides with grandfather, like in a hut. 

Maybe it was the second memory, and the first is also from the apartment of my grandparents. I was having a bath, and on edge of the bath there was a wooden shelf with many toys, and I was splashing and laughing, I had so much fun. Can't remember anything special on the shelf except the yellow duck.",,ж,2,2-3,-,"на коленях, взаимодействие с родственником, купание",дедушка,"очки дедушки, деревянная доска в ванной, игрушки, желтая уточка (игрушка)","белый, желтый",собственный смех,-,весело и хорошо,"улыбка дедушки, быть закрытом дедушкой как в шалаше",квартира бабушки и дедушки,-,-,"пассивное, активное",
243,Аня,Anya,"Три года. Я заснула в метро, и кто-то из родителей вынес меня из вагона, держа на руках. А затем это воспоминание сразу перетекает в то, когда мы с семьей переехали в коммуналку (как будто мы сразу из поезда попали туда). Я помню, что мы где-то в темноте, вроде коридора, и на освещенной кухне стоит соседка и что-то говорит. Вроде бы там еще был кот.","Three years old. I fell asleep in the subway, and one of my parents carried me from the car in the hands. And then this memory immediately flows into that one, when my family moved to communal flat (as if we immediately from the train got there). I remember that somewhere in the dark, like in the corridor and into the lighted kitchen and the neighbor says something. I remember that somewhere in the dark, like in the corridor and into the lighted kitchen and the neighbor says something.",,ж,2,3,место проживания,"на руках, темнота","семья, соседка, кот",-,-,голос соседки,-,-,-,"метро, коммунальная квартира, кухня",-,-,пассивное,соединение воспоминаний
244,Неля,Nelya,"Четыре-пять лет. Я в детском саду утром смотрела в окно как уходит моя мама. Была тоска, но вместе с тем мне нравилось её переживать, я чувствовала себя взрослеющей. К тому времени я уже давно ходила в детский сад.","Four or five years old. I was in kinder garden in the morning, looking out the window as my mother went away. Felt sorrow, but I liked her to feel it, I felt maturing. By the time I had been going to kinder garden.",,ж,1,4-5,детский сад,новое чувство,мама,-,-,-,-,"тоска, нравится переживать, чувствовать себя взрослеющей",смотреть в окно как уходит мама,детский сад,-,-,пассивное,
245,Наташа,Natasha,"В воспоминаниях мне приблизительно от двух до шести лет.

Сижу на кровати. Мама кормит меня из маленькой кастрюльки с одной длинной ручкой, кашей, с края ручки кастрюльки есть маленькая дырочка, я пытаюсь просунуть палец в эту дырочку. Каша вкусная. Кажется, вечер. 

Я лежу одна в постели, смотрю на лампу висящую на потолке, долго смотрю. До того, что от нее будто начинают сходить вниз к полу маленькие огоньки как светящиеся месяцы. Я испугана, плачу, зову маму.

Папа сидит на полу возле телевизора в больших наушниках, смотрит что-то. Мама спит рядом со мной на диване, ночь.

Лежим с дедом на диване, смотрим биатлон, в комнату входит мама.

В квартире бабушки и дедушки большая кухня, посреди стоит круглый стол, иду мимо, захожу в ванную и посреди пола начинаю играть в юлу.

Сижу на диване, листаю журнал «Cоsmopolitan», вижу рекламную картинку на которой изображены красивые парни, не могу отвести глаз, рассматриваю долго.

Мама забрала меня из детского сада, стоим около подъезда, мама разговаривает с соседкой, рассказывает ей что сегодня убили Влада Листьева. Позже вечером включаем телевизор, по ОРТ ничего не идет, только на черном фоне фото Влада Листьева, грустно.

Хожу по комнате, пою, представляю себя певицей, на мне перчатки, а в руке импровизированный микрофон-отвертка.","In the memories of me from about two to six years.

Sitting on the bed.Mom feeds me kasha from a small saucepan with one long handle; at the edge of the pan handle there is a small hole, I'm trying to stick my finger in the hole. The porridge is tasty. It seemed to be the evening.

I am in bed alone, looking at the lamp hanging from the ceiling, so long. So it even starts shimmering with small glowing flashlights as crescents moving down to the floor. I'm scared, crying, calling my mom. 

Dad is sitting on the floor near the TV in big headphones, watching something. Mom is sleeping beside me on the sofa, night.

 Lying with my grandfather on the couch, watching biathlon, mom walking in the room. 

The grandparents' flat, a big kitchen, in the middle there is a round table, I'm going past, I'm going to the bathroom and in the middle of the floor begin to play with a spinning top.

Sitting on the couch, flipping through a magazine ""Cоsmopolitan"", see an advertising picture which depicts beautiful guys, I can't take my eyes off, considering them for a long time.

Mom picked me up from kinder garden, we are standing near the entrance, mom is talking with a neighbor, tells her that today Vlad Listyev* was killed.

Late in the evening we turned on the TV, ORT-channel** did not show anything, there was only a photo of Vlad Listyev on the black background, it's sad.

Walking around the room singing imagining I'm a singer, I'm wearing gloves, and in my hand - a makeshift microphone-screwdriver.","*Vladislav (Vlad) Listyev is a was a Russian journalist and head of the ORT TV Channel (now government-owned Channel One).
On the evening of March 1, 1995, he was shot dead on the stairs of his apartment building. This murder got a wide response, had numerous guesses and became one of the milestone of the criminal 90s in Russia.

**According to the tradition of public mouring ORT TV Channel cancelled all the shows, left the photo on the screen the whole day long.",ж,8,2-6,"детский сад, убийство Влада Листьева","кровать, сидение, лежание, еда, искусственный свет, фантазия, наблюдение родственника, телепередача, игра, листание журнала","мама, папа, дедушка, красивые парни из журнальной рекламы, соседка","маленький ковшик с длинной ручкой, каша (еда), лампа, большие наушники, юла, журнал, телевизор, перчатки, микрофон-отвертка",черный,"разговор мамы с соседкой, собственное пение",вкусная каша,"пытаться просунуть палец в отверстие ручки ковшика, грустно от того, что по телевизору ничего не идет и на черном фоне фотография, представлять себя певицей",маленькие огоньки сходят вниз как светяющиеся месяцы,"кровать (спальня), диван (комната), кузня бабушки и дедушки, ванная, у подъезда","вечер, ночь",весна,"пассивное, активное",
246,Андрей,Andrey,"У меня есть целый ряд коротких воспоминаний на тему отцовской  сверхсрочной службы в армии на Новой Земле. Мне было от двех до трех лет. У меня нет фото этого времени, а по словам родителей эпизоды которые вспоминаю — действительно были. Правда, я не помню речи (голоса, интонации), но как бы помню смысл некоторых фраз. Не помню лиц. Помню в основном  как бы картины и несколько эпизодов в движении. Ледяная горка, залитая отцом с сугроба. Телефон на стене, он был без диска, но с ручкой, которую нужно было крутить для вызова оператора. Помню строение квартиры.","I have a number of short memories on the theme of my father's long service in the army in the New Land. I was from two to three years old. I have no photos of that time, but according to parents episodes that I remember are quite real. However, I don't remember the speech (voices, intonations), but I remember the meaning of certain phrases. I do not remember faces. I remember mostly like pictures and a few episodes in the movement. Ice slide, made by my father with the snow hill. The phone on the wall, it was without a drive, but with the handle, which had to turn to call the operator. I remember the plan of the apartment.",,м,-,2-3,служба отца в армии на Новой Земле,наблюдение,папа,"залитая отцом с сугроба ледяная горка, телефон с ручкой на стене",-,голос,-,-,-,квартира,-,-,пассивное,
247,Саша,Sasha,"Самое раннее, что могу вспомнить — это даже не воспоминание, конкретного события тут нет. Запомнились цвета: изумрудно-зелёный и оранжевый. Это был светофор под дождём, кажется. Вообще наиболее ранние воспоминания — это просто какие-то образы предметов и обязательно цвет. Два игрушечных пластмассовых паровозика с железными вагончиками. Один паровозик чёрный, другой изумрудный. Картинка, на которой нарисован ярко-красный флажок. Ярко-красная миска. Это мне года два было.

В два с половиной года помню самолёт, вернее, сам самолёт не помню, прилетели мы в Луганск и идём по какому-то узенькому коридорчику меджу двумя заборами уже в город с территории аэропорта, а там, под этими заборами, незабудки растут, голубенькие.","The earliest that I can remember — it's not even a memory, there is no specific event there.

I remember the colours: emerald green and orange. It was a traffic light in the rain, I think. In general most early memories are just some images of items and definite colour. Two toy plastic trains with steel wagons. One train is black, the other one is emerald. The picture, where a bright red flag is drawn. A bright red bowl. That year I was two. 

Two and a half years old; I remember the plane or rather do not remember the plane itself, we arrived to Lugansk and went down some narrow corridor between two fences to the city from the airport, and there, by these fences, were growing pale blue forget-me-nots.",,ж,2,2;2.5,место проживания,"наблюдение, предметы, движение, ажропорт",-,"светофор под дождем, два игрушечных пластмассовых паровозика с железными вагончиками (игрушка), картинка с рисунком флажка, миска, незабудки","изумрудный, оранжевый,  черный, красный, голубой",-,-,-,-,"помещение, аэропорт",-,-,пассивное,
248,Лена,Lena,"Дедушка умер, когда мне было два года и девять месяцев. Помню как он принес килограмм черной икры. Она была завернута в бумагу и лежала на столе на кухне, а я сидела на диване на кухне. Ещё на кухне была мама.

Помню, как дедушка в своей комнате лежал на диване и смотрел телевизор, а меня посадили к нему на диван, и он за мной присматривал. Помню, как дедушка уходил на работу, то есть как он одетый в пальто стоял в прихожей и махал мне рукой. Но сколько мне было тогда — не знаю.

Ещё помню такой эпизод. Мы гуляли с бабушкой во дворе. Предположительно, это была ранняя осень, и мне было 2 года 3 месяца. Бабушка меня фотографировала, а я сидела в ""черепашке"" — такая железная штука на детских площадках раньше бывала. Потом через двор проходил мой брат, и к нам присоединился, бабушка сфотографировала меня с ним. А потом шёл дедушка, и тоже к нам присоединился. И мы попросили прохожего сфотографировать нас вместе вчетвером. Я помню всю последовательность действий, в каком именно дворе это было. Возможно из-за того, что потом я часто разглядывала эти фотографии.

Ещё помню лето, когда мне исполнилось два года. Я на всё лето осталась с бабушкой в Москве и мы ходили гулять на поляну, где трава была выше моего роста. Помню как мы в этой траве сидели. Помню позу сидящей бабушки и то, что трава выше меня. Это воспоминание приходится на два года - два года и два месяца. А потом там началась стройка.","Grandfather died when I was two years and nine months. I remember how he brought a kilo of black caviar. It was wrapped in paper and lying on the table in the kitchen and I sat on the couch in the kitchen. There was also my mom. 

I remember how my grandfather was lying on the couch in his room, watching TV, and I was sent to him on the couch, and he looked after me. I remember how my grandfather used to go to work, how he standing in the hallway dressed in a coat and waving goodbye. But I can't say for sure how old I was.

I still remember such an episode. We took a walk with grandma in the backyard. Presumably, it was early autumn, and I was 2 years and 3 months. Grandma took my picture, and I was sitting in the ""bug"" - it is such an iron thing on playgrounds ever been. Then across the yard came my brother, and joined me, my grandma took a picture of me with him. And then the grandfather came in, and joined us as well. And we asked a passerby to take our picture altogether. I remember the whole sequence, and in what yard it happened. Perhaps due to the fact that I often looked at these pictures. 

I still remember the summer I turned two. I stayed with my grandmother for the whole summer in Moscow and we went for a walk to a meadow where the grass was higher than my growth. I remember how we were sitting in the grass. I remember the posture of the sitting grandmother and the fact that the grass was taller than me. This memory refers to the age of two or two years and two months. And then there began a construction work there.",,ж,4,<2.75;<2.75;2.25;2-2.17,смерть родственника,"приход родственника, еда, сидение, уход на работу, фотографирование","дедушка, мама, бабушка, брат","килограмм черной икры (еда), телевизор",-,-,-,-,"трава выше головы, поза сидящей бабушки","диван (кухня), диван (дедушкиа комната), детская площадка (на улице)",-,лето,пассивное,прорабатывание с погружение во все более ранние времена
249,Катя,Katya,"Мне несколько месяцев, меня на руках держит прабабушка. Помню её тепло, обои в комнате, кристаллики на люстре, сервант, естественный яркий, но в тоже время приятный свет. В какой-то момент склоняющиеся надо мной лица, улыбки. Родители утверждают, что я не могу этого помнить, ибо прабабушка умерла, когда мне еще и года не стукнуло.","I am a few months old, I am in the arms of my great-grandmother. I remember her warmth, the wallpaper in the room, the crystals on the chandelier, the sideboard, natural bright, but pleasant light. At some point,  they all leaning over me, faces, smiles. Parents say that I can't remember it, because my great-grandmother died when I was under a year old.",,ж,1,<1,смерть родственника,"на руках, свет","прабабушка, лица","обои, кристаллики на люстре, сервант",-,-,-,"тепло, яркий, но приятный свет","склоняющиеся лица, улыбки",комната,-,-,пассивное,
250,Люда,Lyuda,"Бежевая вязаная кофточка на кнопочках. Помню как мама положила меня на спину на кровати, и, одевая ее на меня, стала застегивать кнопки. Мне так понравились эти кнопочки и щелкающий звук, с которым они закрывались, что я засмеялась. Очень хотела сказать маме, чтобы она почаще одевала эту кофточку на меня, но почему-то не получилось.

Воспоминание это осталось надолго, но представление о том, как именно выглядела кофточка, немного размылось, пока много лет спустя я не нашла эту кофточку среди множества других моих детских вещей в чемодане на антресоли. Увидев, насколько она маленькая, я спросила у мамы, в каком возрасте она её одевала на меня, и она ответила, что мне было примерно полтора года. Также мама сказала, что в этом возрасте я еще не говорила толком, только какие-то несвязные слога выговаривала, может, поэтому не смогла ей тогда сказать того, что хотела.","Beige cardigan with the buttons. I remember my mom putting me on my back on the bed, and getting me dressed began to fasten the buttons. I loved those buttons and their clicking sound, so I started laughing. i really wanted to tell my mom that I would love to wear that cardigan more often, but for some reason it did not work. The memory of it remained for a long time, but the idea of how it looked, the jacket or cardigan, a little eroded, until many years later I found it among many other things of my childhood in the suitcase. Seeing how small it is, I asked my mom at what age she wore it on me, and she said I was about a year and a half. Also she said that at this age I haven't talked really, just some incoherent syllable uttered, so I was not able to say what I wanted.",,ж,1,1.5,подтверждение родственников,"кровать, одевание",мама,кофточка с кнопками (одежда),бежевый,"щелкающий звук застегивающихся кнопок одежды, собственный смех",-,-,-,помещение,-,-,пассивное,
251,Андрей,Andrey,"Темная снежная зимняя ночь, и я с мамой иду в детский сад около семи утра. Возраст около пяти лет.","Dark snowy winter night, and my mom and I went to the nursery at about seven in the morning. My age was about five years.",,м,1,5,детский сад,путь до детсада,мама,-,-,-,-,-,"темнота, снег",на улице,утро,зима,пассивное,
252,Дима,Dima,"Меня первый или очередной раз положили в детской комнате одного. Уложили спать, вышли, был полумрак, я до сна думал о воронах, или вороне в комнате, нервничал. 

Поход с мамой к врачу на укол, обещала, что укола не будет, но он был, так и знал, что он будет, поплакал. 

Крещение, единственное воспоминание, у которого знаю сколько мне было лет — 3 года. Помню как отдали крестной в руки, как несла по храму, как вино дали кислое и булку.

Я, старший брат и старшая сестра побежали куда-то с позволения родителей. Перебегая дорогу видели двухэтажных лошадей, и их гигантскую повозку. Тогда я думал, что бывают такие большие лошади и не удивился.","I was left in the nursery alone at first or one another time. Put to bed, came out, there was twilight, before sleep I thought about a raven, or a crow in the room and was nervous. 

Visit with mom to the doctor, the doctor promised that there wouldn't be any injection, but it was, and I cried.

 Baptism, the only memory, which age it was about, I remember - 3 years. Remember how I was given to the hands of my godmother, as she was carrying me in the Church, and how they gave me sour wine and a bun.

 I, an older brother and older sister ran off somewhere without permission of the parents. Running across the road we saw the two-storey horses and their giant wagon. That time I thought there are such big horses and was not surprised. I was one or two years old.",,м,4,3,крещение,"быть оставленным одному, укладывание, несбывшееся обещание, укол, крещение, на руках","мама, вороны, крестная, старший брат, старшая сестра, двухэтажные лошади",-,-,"собственный плач, рассказ брата и сестры о двухэтажных лошадях",церковное кислое вино и булка,"думать о воронах и нервничать, укол",-,"комната, поликлиника, храм, ",-,-,пассивное,
253,Аня,Anya,"Мне было от одного до двух лет. Сижу на горшке почти посреди комнаты. Темно, комнату освещает лишь экран включенного телевизора. Отец смотрит передачу. Рядом с ним на диване сидит моя мать, она в коротких джинсовых шортах. Вдруг она встает и направляется к коридору, но, не дойдя до него, у неё начинают отваливаться ноги. Она с трудом выползает в коридор и двигается дальше. Я в панике, с горшка ползу за ней, так как ходить нормально ещё не могу. В коридоре темно, и я вижу что мать развалилась по частям, я вижу как куда-то катится её голова. Но она жива. Я в истерике ползу обратно в комнату к отцу, но он равнодушно продолжает смотреть телевизор дальше. Я слышу как рыдает в коридоре мамина голова. Метаясь между коридором и комнатой, я просыпаюсь. Точнее, меня разбудили. Лежа в своей кроватке, я поднимаю глаза и вижу двух то ли призраков, то ли скелетов, точно уже не помню, родителей, склонившихся надо мной. Опять ужас, страх. После чего уже просыпаюсь окончательно.","I was one or two years old. I was one or two years old. It's dark, the room is illuminated only by the screen of TV. Father watching a TV-show. My mother is sitting beside him on the couch, she is in denim shorts. Suddenly she gets up and goes to the corridor, but before reaching it, she is starting to cast off her feet. She is crawling out into the corridor and moving on. I am in a panic, crawl from the pot over her, but I can't walk normally yet. Dark in the hallway, and I see that the mother collapsed in parts, I can see where is rolling her head. But she's alive. I'm in hysterics crawling back to the room to father, but he calmly continues watching TV. I can hear sobbing in the hallway of my mum's head. Tossing between the corridor and the room, I wake up. Or rather, some one woke me up. Lying in my bed, I look up and see either ghosts, or skeletons, just do not remember, parents, leaning over me. Again, the terror, the fear. Then I wake up completely.",,ж,1,1-2,неумение ходить,"сон, темнота, страх, пробуждение, телевизор","папа, мама","ночной горшок, телевизор, мамины джинсовые шорты",-,мамин плач,-,-,-,комната,-,-,активное,
254,Настя,Nastya,"Я помню как мама поет мне колыбельную. Лежу в кроватке, вижу ее деревянные прутья. Маму я не вижу, только слышу. А еще через прутья видна кухня и кухонное окно. А в окне то ли рассвет, то ли закат. Сумерки, и небо алеет. Мне больше двух лет. Мамина песня грустная.",,,ж,1,>2,-,"кровать, смотреть сквозь преграду",мама,-,-,колыбельная мамы,-,грустность маминой песни,"сумерки, небо алеет",кроватка с прутьями (помещение),утро или вечер,-,пассивное,
255,Олег,Oleg,"Я маленький танцую и бешусь под песню Олега Газманова, концерт которого показывают по телевизору. Вокруг много взрослых. Мне показалось странным, что первое воспоминание связано с таким взрослым возрастом. По моим ощущением три-четыре года, то есть я разговариваю. Есть подозрение, что я видел кассету с видео того как я это делаю.",,,м,1,3-4,видеокассета,"телепередача, активность, ложное воспоминание",-,телевизор,-,песня Олега Газманова,-,-,-,помещение,-,-,активное,
256,Карина,Karina,"Зима. Мама обула меня в валенки. Мне очень неудобно, они колючие и твердые и я не могу устоять в них, мне ужасно горько из-за этого. Я не понимаю почему у меня такая неудобная обувь. Я тогда только научилась ходить.

Весна, вечер. Мне пять лет. Папа держит меня за руку и мы смотрим на комету, которая висит в небе. Все это на фоне городского пейзажа какого-то спального района маленького города, в котором мы тогда жили. Это было торжественно.

Вечер, комната, тусклый желтый свет. Я лежу в манеже, напротив сидит папа и рассказывает мне сказку про Беляночку и Розу (и медведя). Картинка с ними висит на стене за папой. Они мне кажутся очень красивыми.

Темно, я у бабушки с дедушкой. Лежу на диване напротив их кровати. Не могу заснуть и плачу, требую, чтобы бабушка совершила привычный ритуал перед сном: перекрестила меня, приговаривая «Господи, спаси и сохрани» и поцеловала меня. Она подходит и делает это, мне становится легче.

Я стою посреди небольшой комнаты и держу в руках мамину розовую перламутровую помаду. Я выкрутила ее полностью, намереваясь съесть. Вдруг я услышала (свой) голос у себя в голове, тогда я осознала что могу четко артикулировать слова и фразы внутри себя прежде, чем их озвучить. Наверное, мне удалось поймать момент появления внутреннего диалога.",,,ж,5,5,"умение ходить, место проживания","неудобство, взаимодействие со взрослым, лежание, не уснуть, плач, поедание несъедобного, мысль, новое чувство","мама, папа, бабушка, дедушка","валенки (обувь), картинка с героями сказки мамина помада,",желтый,"собственный плач, бабушкин голос",-,"неудобство и колючесть валенок, поцелуй бабушки",комета,на улице,вечер,"зима, весна","пассивное, активное",
257,Юля,Julja,"От полутора до двух лет. Я сплю в деревянной кроватке с боковыми рейками. Мама включает пластинку на электрофоне, зажигает лампу с абажуром яично-желтого цвета, гасит верхний свет и уходит. Я слушаю сказку долго-долго. Голос — мужской, низкий, бархатистый.

Болею. Тело все горит, руки, ноги не слушаются. Меня намазывают прогревающим кремом и укрывают тяжеленным, красным одеялом с верблюжьей шестью. Я пытаюсь спать, но, кажется, что одеяло, как медленно сползающий песок дюны, намеревается меня задушить, задавить насмерть. Иногда, когда я болею, даже сейчас, мне снится это чертово одеяло. Временами это хочется интерпретировать как воспоминание об утробе.

Бабушка гуляет со мной. Я уже хожу, но часто падаю. Самый большой стресс — то, что она постоянно уходит далеко вперед, и я боюсь никогда не догнать ее. У нее длинное бежевое пальто. Бежевое на фоне белой улицы. Начинает идти снег, дорожка присыпана пудрой из мелких снежинок. Я вижу перед собой след бабушки и рядом следы голубя. ","I'm between 1,5 and 2 years old. I'm laying in the crib with wooden sidebars. Mother turned on the vinyl record on the player, switched on the lamp with egg-yellow lampshade on the table, switched off the overhead light and left. I was listening to a fairytale for a long time. The voice was male, low and velvety.

Hurt. Body burning, hands and legs didn't not obey. I was smeared with warming cream and covered with a heavy, red blanket with a camel fur. I tried to sleep, but it seemed that the blanket, like the slow-sliding sand of the dune, intended to strangle me, to crush me to death. Sometimes when I'm ill, even now, I dream of that damn blanket. Sometimes I want to interpret it as a memory about the womb.

Grandma was walking with me. I already could go, but I fell a lot. The biggest stress was that she constantly went far ahead, and I was afraid I would never catch up with her. She had a long beige coat. Beige on white street background. It was starting to snow, the track was sprinkled with powder of small snowflakes. I only saw a trace of my grandmother and very close - some traces of pigeons paws. ",,ж,3,1.5-2,-,"засыпание, болезнь, теснота, прогулка, страх","мама, бабушка, голубь","лампа с абажуром, одеяло с верблюжей шерстью, бабушкино пальто (одежда родственника)","яично-желтый, бежевый, белый","мужской голос с пластинки, рассказывающий сказку",-,"тело горит, ноги не слушаются, тяжесть одеяло, бояться никогда не догнать бабушку",снег,кроватка с рейками,-,зима (?),"пассивное, активное",
258,Грета,Greta,"Коридор в общежитии, где мы с родителями жили до моих семи лет. Мне пять или шесть. Мы с отцом собрались идти гулять. Я в уличной одежде сижу на скамейке в коридоре, а папа учит меня завязывать шнурки на филетовых кроссовках детским способом, когда берешь в каждую руку по петельке и связываешь их в узелок.

В том же рабочем общежитии у родителей было две комнаты, но не соседних — между ними была комната женщины, которая запомнилась мне вредной. В этой комнате лежит советский паркет елочкой, и одна из дощечек шатается так, что можно стоять на ее разных концах и балансировать, качаться на маленьких качелях. Помню огромное удовольствие от этого плавного и монотонного покачивания. 

Детский сад, шесть лет. В саду есть группа балета, в которую я прохожу отбор. Сначала мы повторяем движения за преподавателем, а потом нас просят придумать «танец» и станцевать его по одному. Дальше не помню ничего, только страх перед тем, что я не смогу. ",,,ж,3,5-6; 6,"место проживания, детский сад","одевание, обучение, наблюдение, качание, страх, танец","папа, женщина из общежития",скамейка,фиолетовый,-,-,-,-,коридор (общежитие),-,-,-,
259,Саша,Sasha,"Есть два эпизода, оба относятся к периоду, когда мне было 2,5–3,5 года, но первое, кажется, было раньше.

Бабушкина квартира, в комнате уже зажжён свет — не темно, но и не достаточно светло. Матовый плафон и лампа, наверное, ватт на сорок. Я сижу либо на полу, либо на каком-то низком стульчике — борт стоящего за мной дивана-раскладушки довольно высоко. И тут у меня перед глазами проплывает шерстяная стена — бок кавказской овчарки, что щенком жила у нас, а затем «переехала» как раз к бабушке.
 
Я полулежу на диване в гостевой комнате и завёрнут в полотенце (а то ещё и одеяло) — видимо, только после купания. Комната залита липким жёлтым светом. Должно быть, уже довольно поздно. Папа вернулся из поездки, привёз и теперь показывает некую многоярусную, но небольшую конструкцию, формой чем-то напоминающую те, в которых сейчас на кассах супермаркетов выложены жевательные резинки и прочая конфетная мелочёвка.",,,м,2,2.5-3.5,-,"искусственный свет, сидение, животно, наблюдение, укутывание, наблюдение родственника, возвращение отца, лежание",кавказская овчарка (собака),"матовый плафон, лампока, стульчик, диван, конструкция",желтый,-,-,-,"свет, шерстяная стена","бабушкина квартира, гостевая комната",-,-,пассивное,
260,Мартин,Martin,"Мне года три или четыре, я просыпаюсь рано утром на кровати-кушетке и кто-то из старших, собирающихся в школу, мне говорит, что, как окончательно проснусь, то на кухне для меня готова яичница. Я, продрав глаза, прошу ещё, пока не убежали, запустить на компьютере игру Golden Axe. На этом воспоминание обрывается и сливается с множеством схожих — это было, в целом, достаточно типичное моё утро в том возрасте.",,,м,1,3-4,-,"кровать, пробуждение, компьютерная игра",кто-то из старших,"компьютер, кровать-кушетка",-,диалог,-,-,просить запустить игру,кровать-кушетка (помещение),утро,-,активное,
