№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
283,Саша,Sasha,"Как меня крестили в православной церкви, когда мне было 1.5 года. Помню как родителей попросили удалиться, а я стоял обнажённый на полу возле купели. Когда священник произносил слова, я с интересом разглядывал изображения святых или ангелов и представлял их присутствующими здесь, будто они стоят рядом. Это событие было, видимо, настолько запоминающимся и радостным, что и до сих пор, несмотря на мои сложные и неопределённые отношения с религией, верой и Богом, мне нравится присутствовать в храмах. В такие моменты душу наполняет тихая радость, а тревоги уходят.","I remember being baptized in an orthodox church, when I was 1,5 years old. I remember my parents were asked to leave, and I stood naked on the floor near the baptistery. When the priest spoke I was looking at the images of the saints and angels with great interest, I was imagining them being among us, as if they were standing by my side. This event was apparently so memorable that I still like being in temples despite my complicated relationship with religion, fate and God. My soul gets filled with joy in moments like that and all anxieties vanish.",,м,1,1.5,крещение,крещение,"родители, священник, святые, ангелы","купель, изображения святых",-,-,-,"стоять обнаженным на полу возле купели, радость",-,церковь,-,-,пассивное,
284,Юрий,Yury,"Потолок роддома. Я почти уверен, что это что-то другое, но ассоциация такая.

Меня в коляске везут мимо цветочной клумбы в парке.

Лежу в кроватке детской в своей комнате, и почему-то думаю о том, что будет, когда меня не будет. И разрешается все это через то, что не пропадет же все, то есть, будет кто-то еще, кто будет так же видеть, чувствовать, управлять своим телом, как я. То есть, нормально все. Понимаю, что это звучит как-то слишком уж по-взрослому, но я, сколько себя помню, всегда помню, что эта мысль уже была, и до сих пор придерживаюсь того же мнения, а эпизод, когда я ее подумал впервые, помню именно так, как описал. Ну и кроватка точно была, а она маленькая.","I remember the ceiling at the maternity hospital. I’m pretty sure that it was something else, but the association is this.

I am passing a flower bed in my stroller at the park.

I was lying in a crib in my room, and thinking about what would have happened if I no longer existed for some reason. I ended up thinking that everything shouldn’t just disappear, that someone who would see, feel, move their body like I do would still exist. This meant that everything was ok. I understand that this sounds too mature, but I had this thought for as long as I remember, and I still stick to this opinion, and the moment I had first thought about it I remember exactly how I described it. Well the bed definitely was there, and it was small. 
",,м,3,-,-,"роддом, коляска, быть везомым, кровать, мысль",-,цветочная клумба,-,-,-,-,-,"роддом, коляска (парк), кроватка (комната)",-,-,пассивное,
285,Ната,Nata,"Музыка. Мне где-то три года, и родители слушают Мумий Тролль и Океан Эльзы. Еще помню свои первые пазлы, примерно в том же возрасте. С Красной Шапочкой. Папа принёс после работы.","Music is playing. I am about three years old, my parents are listening to Mumiy Troll and Okean Elzy*. I also remember my first puzzle, I was around the same age. With Little Red Riding Hood. My dad brought it to me after work.

*Mumiy Troll and Okean Elzy – Russian and Urkranian 1990-early 2000s rock bands
",,ж,2,3,-,"музыка, предмет",родители,пазлы,-,музыка,-,-,родители слушают музыку,помещение,-,-,пассивное,
286,Наташа,Natasha,"Я была четырехлетней, когда родители уехали из Приморского края. Значит, это воспоминание относится к периоду до четырех лет. Застекленная веранда. На крыше детский велосипед, трехколесный. Кажется, красный.

Почему на крыше? Не знаю. Но мама сказала мне после, что да, это не приснилось мне, это правда — трехколесный велик, застекленная веранда. Когда мы уезжали оттуда на Украину, велик оставили.","I was a four-year-old when my parents left the Primorsky Krai*. It means this memory dates back to before I turned four. I remember a glass veranda. There was a childrens’ bicycle with three wheels on its roof. I think the bike was red.

Why on the roof? I don’t know. But mom told me after that I didn’t dream it, it was true – the three-wheeled bike, the glass veranda. When we left for Ukraine, we left the bike.

*Primorsky Krai – a region in the Far East Russia.
",,ж,1,<4,"место проживания, подтверждение родственников","наблюдение, предмет",родители,велосипед,красный,-,-,-,велосипед на крыше,веранда,-,-,пассивное,
287,Женя,Zhenya,Года три-четыре. Вспоминается какое-то неестественно оранжевое небо.,Three of four years old. Remembering the bizzare orange sky.,,ж,1,3-4,-,наблюдение,-,-,оранжевый,-,-,неестественность цвета неба,небо,-,-,-,-,
288,Тома,Toma,"Восемь-девять лет. В детстве моя матушка с отцом всегда забирали меня на машине из школы, так как жили мы достаточно далеко. И вот однажды матушка сказала, что хорошо бы заехать купить сахара в супермаркете. Ну мы и подъехали, мать с отцом вышли за сахаром, а мне сказали сидеть в машине ожидать. Помню, что была очень испуганным ребенком, и мне всегда казалось что вот-вот что-то пойдет не так. Вот я сижу в машине, минуты тянулись как часы, и по моим подсчетам прошло минут пять, но тогда показалось, что прошло часа два. Мне начинает казаться, что родители бросили меня. Думаю: да нет, а как же машина? Спустя еще минуту думаю о том, что может они так меня не любят, что им и машины не жалко (ну а что, купят новую), лишь бы меня забыть где-то! А я маленькая, ключей и денег на проезд нет, да и адреса не помнила тогда. Начинаю плакать. Ко мне подходит какая то женщина и спрашивает через окно почему я плачу. Говорю: так и так, родители потерялись. Она сказала что поможет их найти в магазине, если опишу их. После первой неудачной попытки найти моих родителей в супермаркете она приводит их ко мне, мама обнимает меня и дает конфету, а женщину благодарит.

Я почти ничего не помню лет до шести, но где-то в этом возрасте мы с сестрой, к которой я приезжала на лето в деревню, играли в выдуманные игры. Однажды смешали всю бабушкину косметику в одной миске, чтобы сварить зелье, играли в Гарри Поттера, летая по двору на швабрах. Красили камни и продавали. Самое яркое — готовили концерты для всей улицы у бабушки дома. Мы с ней пели под караоке, показывали сценки, раздавали всем еду в антракте, которую покупали на неизвестно откуда взявшие у нас деньги, танцевали и всякое другое.
","I was eight or nine years old. When I was a child, my mother and father always picked me up in their car after school cause we lived pretty far away. So one time my mother said that it’d be good to go buy some sugar at the supermarket. So we did. Mom and dad went to get the sugar and told me to sit in the car and wait. I remember I was a very fearful child and I always felt like something was about to go wrong. So I was sitting in the car, minutes passed like hours. I think five minutes passed but it felt like two hours back then. I started to think that my parents left me. I was thinking: “No, they didn’t, what about the car?”. A minute later I started thinking that they don’t love me so much that they didn’t even care about the car (why, they could buy a new one), that’s how much they wanted to get rid of me! I was little and I didn’t have any money for a bus ticket or any keys, I didn’t even remember our address then. I started crying. Some woman approached me and asked me through the window why I was crying. I told her: so and so my parents got lost. She said she was going to help find them in the store if I describe them. After the first failed attempt to find my parents in the supermarket she brought them to me. Mom hugged me and gave me a candy, she thanked the woman.

I barely remember anything before the age of six but somewhere around this age my sister and I used to go to the countryside, we played made up games. One time we mixed all grandma’s make-up stuff in one bowl to make a potion. We played Harry Potter flying on brooms in the yard. We painted stones and sold them. The most intense memory – we used to organize concerts at grandma’s place for the whole street. We sang karaoke songs, performed sketches, during the break we gave out food to everyone – I don’t know where we got the money for it – we danced at stuff.",,ж,2,8-9;6,-,"автомобиль, ожидание, страх, быть оставленным одному, мысль, игра, представление, еда","мама, папа, женщина, сестра","сахар, конфета, бабушкина косметика",-,собственный плач,песни под караоке,объятие,"варить зелье из бабушкиной косметики, красить камни и продавать","автомобиль, деревня",не ночь,лето,активное,
289,Алиса,Alisa,"Пять лет, папа отжимается перед большим зеркалом, а я сижу у него на спине. До сих пор помню его сильную спину, запах и тепло.","I’m five years old, dad is doing push ups in front of a big mirror and I’m sitting on his back. I still remember his strong back and his smell and warmth.",,ж,1,5,-,"сила отца, наблюдение взрослого",папа,большое зеркало,-,-,запах папы,"сидеть на спине у папы, тепло папиной спины",-,помещение,-,-,пассивное,
290,Руслан,Ruslan,"Сижу в коляске, поворачиваю голову налево — а там дверь нашего подъезда, ещё без домофона, исписанная граффити. Было мне около года. ","I’m sitting in a stroller, I turn my head to the left and there is the door of our entrance hall, still with no coded lock, covered in graffiti.",,м,1,1,-,"коляска, наблюдение",-,"дверь без домофона, исписанная графити",-,-,-,-,повернуть голову налево,коляска,-,-,пассивное,
291,Стася,Stasya,"Я стою в большой комнате. День за окном, деревья и шторы приглушают свет: круглый стол, растение и телевизор на табуретке в левом углу у окна. Идет передача «В мире животных» — кованые ворота распахиваются и танцуют журавли или фламинго. Мне два года, мама привезла меня из Тулуна в Тальжино, в зале у бабушки первый раз.","I'm standing in the large room. It's an afternoon, trees and curtains are muting the light. A round table, a plant and TV set on the stool in the left corner by the window. ""In the World of Animals""* is on TV. Forged gates open and cranes or flamingo start dancing. I'm about two years old. My mother brought me from Toolune** to Tal'zhino***. I'm at first time at my grandmother's living room.",,ж,1,2,место проживания,"стояние, приглушенный свет, телепередача, новое место",мама,"деревья, шторы, круглый стол, растение, телевизор, табуретка",-,телепередача,-,-,-,бабушкин дом,день,-,пассивное,
292,Сева,Seva,"Мой день рождения, три года. Квартира бабушки с дедушкой. Я просыпаюсь на закате, солнце заливает комнату, и я залезаю на подоконник, чтобы посмотреть в окно на абрикосовое дерево.","It’s my birthday, I’m three years old. It’s grandpa's and grandma’s apartment. I wake up at sunset, the sun floods the room, and I climb on the windowsill to look out the window at an apricot tree.",,м,1,3,день рождения,"встреча дня рождения, солнечный свет, наблюдение, пробуждение, активность",-,абрикосовое дерево,-,-,-,-,закат,пквартира бабушки с дедушкой,вечер,-,активное,
293,Настя,Nastya,"Раньше, когда были с сестрой совсем маленькие, наши дни рождения часто объединяли в одно, так как они очень близко по датам. И вот одно из них. Мне четыре года, сестре шесть. Я нахожусь в дальней комнате, где мы с сестрой обитали. Наверное как-то услышала, что кто-то пришел — помню, как бегу из дальней комнаты в коридор, там в дверях стоит мой крестный, в одной руке у него кукла, что-то вроде барби, в другой — игрушечный кролик. Я хватаю кролика, кричу: «Мое!». Убегаю обратно.

Но самое сильное воспоминание из детства о том, как я «потерялась». Мне было лет пять. Вышли с мамой вдвоем из дома, собирались идти встречаться с бабушкой. Тут вдруг собираюсь переходить дорогу, и осознаю, что мамы рядом нет. Всё это безобразие происходит в десяти метрах от дома, где остались папа с сестрой. Не знаю как в мою голову пришла такая мысль, но я решила, что мама просто ушла дальше, вперед, и не заметила, что я отстала. Конечно же, я, вся в слезах, побежала вперед, чтобы маму догнать. Это было очень страшно, особенно страшно было бежать через тоннель. Там очень темно и стены все разрисованные. Как оказалось, когда мы спустились по лестнице, мама сказала, что поднимется назад взять зонтик, а я чтобы подождала ее здесь. И я на это даже отреагировала, хотя я абсолютно этот момент не помню. Можете представить ужас мамы, когда она спустилась, а меня нет. В итоге я нашла бабушку, а вместе с бабушкой мы потом уже искали маму (телефонов не было тогда мобильных ни у кого).

Мама вообще всегда говорила, что я в детстве всё время была в каких-то своих мыслях, отрешенная от мира реального. Поэтому очень часто переспрашивала, когда мне задавали какой-то вопрос. Родители решили, что это у меня со слухом проблемы и повели к врачу. Не помню особых подробностей, но помню, что сидела в наушниках и врач спрашивала, слышу ли я какие-то звуки. Сначала я слышала, а потом я врала, что продолжаю слышать, потому что мне было очень страшно, что мне будут делать какую-то операцию на ушах и отрежут их.","Back when me and my sister  were very small our birthdays often got smooshed together because they were very close to each other. So here is one of them. I’m four years old, my sister is six. I’m in the back room, where my sister and I used to dwell. I probably heard someone come – I remember running from that back room to the corridor and there at the door my godfather was standing, with a doll like Barbie in one hand and a toy rabbit in the  other hand. I grabbed the rabbit and shouted: “Mine!”. Then I ran away. 

But the most intense childhood memory is about me “getting lost”. I was five. Mom and I left our apartment building and were about to meet grandma. I was just about to cross the road when I realised that my mom was not around. All this nonsense was happening 10 meters away from home where my dad and my sister were. I don’t know how I got this idea but I thought that mom just went ahead  and I fell behind. Of course I started running forward all covered in tears to keep up with mom. It was very scary, running through a tunnel was especially scary. It was very dark and all the walls there were covered in graffiti. It turned out that when we went downstairs mom told me that she was going to go back to grab an umbrella and asked me to wait outside. And I didn’t even react to it even though I absolutely don’t remember that moment. You can imagine the horror my mom experienced when she came back and didn’t find me. In the end I found grandma and we were looking for mom together (nobody had mobile phones back then).

Mom always told me that I was constantly deep in my thoughts detached from the real world in my childhood. That’s why I very often asked people to repeat what they just said to me. My parents thought that I had trouble hearing and took me to the doctor. I don’t remember any specific details but I remember sitting with headphones on and the doctor was asking if I could hear some sounds. I could in the beginning but then I started lying cause I was afraid they’d do a surgery on my ears and would cut them off.
",,ж,3,4;5,"день рождения, бег, подарок, чувство собственности, потеряться, мысль, страх",встреча дня рождения,"старшая сестра, крестный, мама, бабушка, папа, врач","кукла (игрушка), кролик (игрушка), зонт, наушники",-,-,-,"страшно бежать через темный тоннель, бояться, что уши отрежут",испуг мамы,"дальняя комната, коридор",не ночь,-,активное,
294,Саша,Sasha,"Мне два года, сижу на родительской кровати с высокими спинками из жёлтого дерева и пытаюсь на валенок натянуть резиновую галошу зеленого цвета и с красными внутренностями. За окном вечер, на небе звезды, которые то появляются, то исчезают из-за пара от трубы котельной.","I am two years old, I’m sitting on a parents’ bed with a high back of yellow wood and trying to put green rubber galoshes with red insides on a valenok*. It’s evening, the stars are in the sky. They disappear and emerge again cause of the steam from the pipe of the boiler house.

*Valenki – a traditional russian type of shoe made out of felted wool.",,м,1,2,-,"кровать, сидение, одевание",-,"валенок, резиновая галоша","желтый, зеленый, красный",-,-,пытаться натянуть калошу на валенок,"звезды то появляются, то исезают из-за пара от трубы котельной",родительская кровать,вечер,-,активное,
295,Катя,Katya,"Стою в детской кроватке и говорю маме «возьми нас на ручки», а она поправляет, что не нас, а меня.

Судя по кроватке, мне максимум года три. Есть мнение, что это не настоящее воспоминание, а ложное, возникшее из-за того что мама мне рассказывала как я о себе в детстве во множественном числе говорила.","I’m standing in a crib and telling my mom: ""Pick us up,"" and she’s correcting that it’s not “us”, but “me”.

Based on the crib, I’m not older than three years old. It’s possible that it’s not a real memory, but a false one, cause my mom told me that I used to talk about myself in plural.
",,ж,1,<3,тип кровати,"стояние, кровать, говорение, ложное воспоминание",мама,-,-,"собственный голос, голос мамы",-,-,мама поправляет слова,детская кроватка (помещение),-,-,активное,Оговорка о возможной ложности воспоминании
296,Сережа,Serezha,"Мне было года два с половиной. В квартире темновато, родители выбирают имя моей будущей сестре. Я тоже предложил. Помню, что в коридоре был в этот момент.

Следующим ярким воспоминанием было то, как я упал с лестницы (шведской стенки) в детсаде.","I was about 2,5 years old then. It was a little dark in the apartment, my parents were picking a name for my future sister. I suggested a name too. I remember I was standing in the corridor at that moment. 

Next bright memory was about falling from a ladder (gymnastic wall bars) in the kindergarten.",,м,2,2.5,детский сад,"будущий ребенок, разговор с родителями, травма","родители, будущая сестра",шведская стенка,-,разговор с родителями,-,"темновато, падение с шведской стенки",родители выбирают имя будущей сестры,"коридор, детский сад",-,-,активное,
297,Валера,Valera,"Со слов родителей — три года. Это было в ясельной группе детского сада. Стоял в раздевалке один, долго вглядывался в потолок и прикрепленные к нему ленты. Потом стал придумывать какие-то образы в голове, в итоге сочинил целый рассказ. Но через пять минут забыл все, что придумал. А после удивился, что в голове могут возникать образы.","According to my parents – I was three years old. It was in the nursery of my kindergarten. I was standing in the locker room alone, and looked at the ceiling and the ribbons attached to it for a long time. Then I started making up various images in my head and composed a whole story in the end. But I forgot everything five minutes later. And after that I got surprised that images can appear in your head.",,м,1,3,подтверждение родственников,"стояние, наблюдение, придумывание, удивление",-,ленты,-,-,-,"удивление, что в голове могут возникать образы",сочинить рассказ и через пять минут забыть придуманное,детский сад,-,-,активное,
298,Игорь,Igor,"Мы с родителями в магазине в очереди за подсолнечным маслом, я сижу в коляске вместе с ними, потому что в руки отпускалось определенное количество этого масла. Было мне около трех лет.","My parents and I are in the store in line for vegetable oil. I'm sitting in a stroller by their side, because the oil was distributed a certain amount per person. I was about three years old.",,м,1,3,-,ожидание,родители,подсолнечное масло,-,-,-,-,очередь,коляска,-,-,пассивное,
299,Маша,Masha,"Когда выбило половину переднего зуба арматурой. Было мне семь лет, и зуб был, на мою беду, уже коренной.

Хотя нет, помню раньше. В шесть лет мама как-то ушла на работу, а я легла на диван и читала «Хроники Нарнии» несколько часов подряд, не отрываясь. Мама пришла, а у меня пол не подметен, посуда не помыта — это были мои обязанности. Очень страшно было. Но мама пришла с подругой, кажется, и так увлеклась разговором с ней, что на мой косяк внимания особо не обратила. Видимо, момент и запомнился из-за чувства непередаваемого облегчения.","I remember when half of my front tooth got kicked out by a piece of metal bar. I was seven and the tooth unfortunately was already permanent.

Actually no, I have an earlier memory. When I was six my mom left for work and I laid on the sofa and read “The Chronicles of Narnia” for several hours straight with no distraction. Mom came back but the floor wasn’t swept, the dishes weren’t cleaned – those were my chores. I was very scared. But mom came with a friend, I think and she was so deep in the conversation with her that she didn’t pay much attention to my mistake. I guess I remembered that cause of the great relief I felt.
",,ж,2,7; 6,-,"травма, потеря зуба, лежание, чтение, облегчение","мама, мамина подруга","арматура, зуб, диван, книга",-,-,-,облегчение,невыполненные обязанности,диван (помещение),-,-,активное,
300,Сережа,Serezha,"Сидел у бабушки на диване и перекатывал дяде гирю, потом я её видимо приподнял и уронил на палец ноги. Так я узнал, что вещи не пропадают, если их не видеть. Палец я тогда себе сломал. Помню что у бабушки был зелено-желтый ковер, и округлый серо-зеленый диван округлый. Мне было около трех лет.","I was sitting on a sofa at my grandma’s and was rolling my uncle’s weight, then I lifted it up apparently and dropped it on my toe. That’s how I learned that things don’t disappear when you stop seeing them. I broke my toe that time. I remember grandma had a green and yellow carpet and a rounded grayish-green sofa. I was about three.",,м,1,3,-,"игра, травма, новое знание","бабушка, дядя","гиря, диван, ковер","зелено-желтый, серо-зеленый",-,-,"узнать, что вещи не пропадают, если их не видеть",-,помещение,-,-,активное,
301,Тася,Tasya,"Я еще не умею ходить, значит мне меньше года. Я просыпаюсь от того, что слышу свое имя и в голове возникает образ моего дяди, который, видимо, пришел в гости. Я хочу к нему и с каким-то нечеловеческим усилием, хватаюсь за решетку детской кроватки и пытаюсь встать.

Еще помню, что в какой-то момент вижу свои ползунки. Так тяжело, как в этот момент, мне больше никогда не было.","I couldn’t walk yet, so I was less than one years old. I woke up cause I heard my name and an image of my uncle who apparently came over appeared in my head. I wanted to be with him and I grabbed a bar of my crib with enormous effort trying to get up.

I also remember seeing my onesie. I never felt this bad in my entire life.
",,ж,2,<1,неумение ходить,пробуждение,дядя,ползунки,-,кто-то говорит твое имя,-,"хотеть к дяде с нечеловеческим усилием, тяжело",-,-,-,-,"активное, пассивное",
302,Алёна,Alyona,"Мне было что-то между годом и двумя, моя бабушка везла меня на коляске. По дороге ехал красный трактор и еще какая-то строительная техника. Видела работающий красный экскаватор (там строили маленький кирпичный магазинчик). Вообще я запомнила это все как целую колонну красной строительной техники, они все шумели, я плакала. Потом еще какую-то часть детства, до какого-то возраста боялась красных тракторов.","I was about one or two years old, my grandma was pushing me in a stroller. A red tractor and some other heavy equipment drove along the road. I saw a red excavator in action (they were building a little brick store). In general I remembered it all as a whole parade of red heavy equipment, it was making noises, I was crying. Then later I was scared of red tractors for some period in my childhood.",,ж,1,1-2,-,испуг,бабушка,"трактор, строительная техника, экскаватор",красный,"шум строительной техники, собственный плач",-,бояться красных тракторов,-,коляска (на улице),день (?),-,пассивное,
303,Лена,Lena,"Я на руках у деда и дергаю его за бороду. Деду весело, мне хорошо. Дед умер, когда мне был год, так что это очень расплывчатое воспоминание.

Я на руках у бабушки, она носит меня по нашей квартире и показывает висящие на стенах картины, репродукции и деревянные работы деда. Он был скульптором, занимался резьбой. Мне весело. Тоже должно быть что-то около года. 

Я пытаюсь схватить кошку то ли за хвост, то ли за шею, но она убегает. Мама говорит, что окончательно она от нас сбежала, когда мне было год и девять. То есть это тоже до года.

Истории обо всех этих эпизодах я также много раз слышала, когда подросла: как я дергала деда за бороду, как бабушка показывала мне портрет Пушкина и я говорила «Пу!» (но конкретно такого воспоминания у меня не сохранилось), как я хватала кошку за узкие места и она шугалась, но не царапала. Поэтому, может, это и не мои воспоминания вовсе. С другой стороны, не все истории вызывали конкретные образы в памяти, так что, может, все правда. ","My grandpa is holding me in his arms and I’m pulling his beard. Grandpa is having fun, I feel good. Grandpa died when I was one, so it’s a very vague memory.

My grandma is holding me in her arms, carrying me around the apartment and showing me reproductions hanging on the walls and the wooden pieces grandpa made. He was a sculptor, he used to do wood carving. I’m having fun. I must have been around one as well.

I'm trying to grab a cat either by the tail, or by the neck, but she runs away. Mom says that she finally ran away from us when I was one year and nine months old. That is, it had also happened before I was one.

I also heard all these stories many times when I got old:  the one about pulling grandpa’s beard, the one about grandma showing me Pushkin’s portrait and saying “Pu!” (although I don’t remember this exact part), the one about me grabbing the cat by the narrow parts of her body and about the cat getting scared, but never scratching me. So maybe those aren’t my memories at all. On the other hand, not all the stories brought up concrete memories in my mind so maybe it was all true.
",,ж,3,1;1;<1.75,"смерть родственника, животное","взаимодействие с родственником, на руках, животное, ложное воспоминание","дедушка, бабушка, кошка","картины, репродукции, деревянные скульптуры",-,-,-,"дергать деда за бороду, хорошо, весело, пытаться схватить кошку за хвост",-,квартира,-,-,"пассивное, активное",
304,Аглая,Aglaya,"До полутора лет. Лежу в кроватке-манеже с деревянными такими палками, что ли, и бабушкина рука держит мою руку. Темно, и горит ночник.

Есть ещё одно, не знаю, может быть, оно и есть первое: как меня везут на санках, я лежу лицом вниз, вечер уже, темно, я смотрю как быстро пролетает снег под полозьями, слышу его скрип.","I’m less than one and a half years old. I am lying in a crib with wooden bars or something and grandma's hand is holding my hand. It’s dark and the night light is on.

There is another one, I don’t know, maybe this is the first one: someone pulls sleds with me on them, I'm lying with my face down, it’s already evening, it’s dark, I’m watching the snow under the runners pass fast, I can hear it crackle.",,ж,2,<1.5,-,"кровать, взаимодействие с родственником, темнота, быть везомым",бабушка,"ночник, санки",-,-,скрип снега под полозьями,-,"снег, быстро пролетающий под полозьями саней",кровать с перилами,вечер,зима,пассивное,
305,Катя,Katya,"Как-то, когда мне было шесть лет, я сидела дома с соседкой, которую всю дорогу называла «бабушкой», родителей дома не было, собственно. Обычно днем показывали мультики на ТНТ типа «Котопса», я это очень котировала. Но вдруг в этот день не показывали никаких мультиков, потому что объявили траурный день. Умер какой-то чувак. И весь день я сидела на полу и смотрела похороны Ельцина, мне тогда эта фамилия абсолютно ни о чем не говорила и никаких чувств я не испытывала на этот счет. Кроме грусти, разве что, потому что не показывали мультиков. И скуки еще, потому что на экране показывали, как несут гроб и совмещали это с рассказами каких-то незнакомых мне на тот момент людей. Весь день пришлось смотреть похороны и одновременно играть в Барби и Кена. Этого Кена, кстати, вся семья не любила, потому что был рыжий и называла его Чубайсом. Мне эта фамилия тоже ни о чем не говорила. ","One time when I was six years old, I was sitting at home with a neighbour, whom I kept calling “grandma”; my parents weren’t at home. Cartoons like “CatDog” were usually on ТNТ* during the day, and I was really into it. But unexpectedly that day there were no cartoons cause a national mourning day was declared. Some dude died. And I’ve been sitting on the floor and watching Yeltsin’s* funerals for the whole day. This last name didn’t speak to me at all back then and I didn’t have any feelings. Except for the sadness, maybe, cause there were no cartoons. And also boredom, cause they broadcasted a coffin being carried around and it was accompanied by the narratives of some people I didn’t know at the time. I had to watch the funerals for the whole day and play with my Barbie and Ken. The whole family didn’t like that Ken by the way cause he had ginger hair so they called him Chubais*.

*TNT – a TV channel
*Yeltsin – the first president of the Russian Federation
* Chubais – a Russian oligarch
",,ж,1,6,смерть Ельцина (?),"мультфильм, траур, телевизор",соседка,"Барби и Кен (игрушка), ",рыжий,-,-,"грустно, что не показывают мультфильмы, скука",-,дом,день,-,-,Ельцин ли?
306,Катя,Katya,"Мне три года, я в больнице, где мне делали операцию, бегаю по коридорам уже. Вечером там пусто, и солнце ярко светит в окно. Я с каким-то мальчишкой пускаю солнечные зайчики расческой-щеткой, на обратной стороне которой зеркало. Закат рыжый, солнечные блики быстрые. Рады.","I’m three years old, I'm at the hospital, where I had surgery. I’m already running along the hallways. It’s so deserted there in the evening and the sun shines brightly into the window. Me and one boy are playing with a hairbrush that has a little mirror on it and casting sunbeams around the room. The sunset is red, the sunbeams are quick. We are happy.",,ж,1,3,операция,"операция, активность, солнечный свет",мальчик,расческа-щетка с зеркалом,рыжий,-,-,"быстрота солнечных бликов, радость","солнечные зайчики, закат",больница,вечер,-,активное,
307,Валера,Valera,"Моя истерика в Детском Мире. Мне было два, кажется, года, и в руках у меня был рожок того самого детско-мирового дорогущего мороженого. Мороженое я уронил на пол и начал рыдать. Тогда продавщица сказала, что я уж очень громко кричу и предложила моим родителям купить стаканчик для карандашей, чтобы утешить.

Стаканчик до недавнего времени стоял на столе. Все это воспоминание почему-то в сепии, но это тоже вряд ли обман памяти, потому что там все позолоченное и свет тусклый.","I threw a tantrum in Detsky Mir*. I was two and I had an ice-cream cone in my hand, that exact extremely pricy ice-cream they were selling at Detsky Mir. I dropped my ice-cream and started sobbing. Then the cashier said that I’m crying too loudly and offered my parents to buy a pencil holder to cheer me up.

The pencil holder has been on a table till recently. This whole memory is tinted with sepia for some reason, but that shouldn’t be a mistake of my memory, because everything was golden there and the light was dim.

* Detsky Mir – (Children’s World) a soviet era store specializing in selling goods for children, mostly toys.
",,м,1,2,-,истерика,"продавщица, родители","мороженое, стаканчик для карандашей",гамма сепии,собственный плач,мороженое,расстроиться уронив мороженное,-,магазин Детский Мир,не ночь,-,пассивное,
308,Марина,Marina,"Мне года три, я на кухне в родительском доме, солнце лежит на полу, я стою в солнечной полосе и радуюсь, потому что это красиво.","I’m three years old, I’m in the kitchen in my parents’ house, the sun is shining on the floor, I’m standing in the streak of sunlight and feeling happy cause it’s beautiful.",,ж,1,3,-,"солнечный свет, стояние",-,-,-,-,-,"стоять в солнечной полосе, радоваться красоте",солнце на полу,кухня в доме родителей,-,-,пассивное,
